video_id,title,category,tags,author_id,duration_seconds,publish_time,description
1,Tech Video 1,tech,ai;programming;software;phone,484,123,2025-05-30T01:30:40,"A short video about tech, including ai, programming, software, phone."
2,Game Video 2,game,mobile_game;strategy;walkthrough,781,163,2026-04-26T15:52:36,"A short video about game, including mobile_game, strategy, walkthrough."
3,Music Video 3,music,pop;piano;dance;cover,666,14,2025-07-25T13:24:29,"A short video about music, including pop, piano, dance, cover."
4,Music Video 4,music,dance;pop;guitar,962,120,2025-08-17T21:06:31,"A short video about music, including dance, pop, guitar."
5,Music Video 5,music,guitar;cover;piano;pop,858,114,2025-07-17T18:14:42,"A short video about music, including guitar, cover, piano, pop."
6,Movie Video 6,movie,animation;actor,959,136,2025-09-23T21:26:55,"A short video about movie, including animation, actor."
7,Music Video 7,music,piano;concert;cover,403,137,2025-07-01T12:50:38,"A short video about music, including piano, concert, cover."
8,Study Video 8,study,skill;math;exam,904,148,2025-05-03T16:33:30,"A short video about study, including skill, math, exam."
9,Game Video 9,game,esports;walkthrough;mobile_game,534,49,2025-10-09T02:49:07,"A short video about game, including esports, walkthrough, mobile_game."
10,Food Video 10,food,cooking;restaurant;dessert,175,173,2026-01-31T22:06:53,"A short video about food, including cooking, restaurant, dessert."
11,Music Video 11,music,concert;guitar;cover;piano,976,96,2025-07-07T02:50:55,"A short video about music, including concert, guitar, cover, piano."
12,Movie Video 12,movie,drama;animation;clip;review,829,139,2026-02-20T21:31:18,"A short video about movie, including drama, animation, clip, review."
13,Music Video 13,music,pop;cover;piano,568,153,2026-01-15T21:54:22,"A short video about music, including pop, cover, piano."
14,Sports Video 14,sports,fitness;basketball;match,615,125,2026-04-14T06:40:42,"A short video about sports, including fitness, basketball, match."
15,Travel Video 15,travel,landscape;city;hotel;vlog,73,180,2026-03-17T13:52:53,"A short video about travel, including landscape, city, hotel, vlog."
16,Movie Video 16,movie,actor;clip,190,167,2025-11-03T05:16:43,"A short video about movie, including actor, clip."
17,Tech Video 17,tech,robot;phone;programming,729,173,2025-11-28T23:36:33,"A short video about tech, including robot, phone, programming."
18,Funny Video 18,funny,meme;challenge;daily_fun,352,106,2025-09-25T08:04:47,"A short video about funny, including meme, challenge, daily_fun."
19,Movie Video 19,movie,drama;review;trailer;clip,19,65,2025-10-07T10:18:07,"A short video about movie, including drama, review, trailer, clip."
20,Tech Video 20,tech,software;robot;digital,853,147,2026-01-05T17:29:09,"A short video about tech, including software, robot, digital."
21,Travel Video 21,travel,landscape;vlog;city,692,109,2025-07-08T03:38:13,"A short video about travel, including landscape, vlog, city."
22,Study Video 22,study,skill;exam,992,40,2026-01-10T13:01:49,"A short video about study, including skill, exam."
23,Game Video 23,game,fps;moba;strategy,259,152,2026-02-21T13:44:57,"A short video about game, including fps, moba, strategy."
24,Food Video 24,food,snack;recipe;dessert;cooking,522,167,2026-04-09T02:08:31,"A short video about food, including snack, recipe, dessert, cooking."
25,Game Video 25,game,walkthrough;strategy,199,159,2025-08-19T10:38:29,"A short video about game, including walkthrough, strategy."
26,Movie Video 26,movie,trailer;clip;actor;animation,922,110,2025-12-05T14:10:41,"A short video about movie, including trailer, clip, actor, animation."
27,Sports Video 27,sports,football;fitness;running;basketball,691,76,2026-03-10T01:21:18,"A short video about sports, including football, fitness, running, basketball."
28,Sports Video 28,sports,table_tennis;running;football;basketball,87,18,2026-02-19T09:09:55,"A short video about sports, including table_tennis, running, football, basketball."
29,Travel Video 29,travel,hotel;culture,519,161,2025-12-19T02:59:32,"A short video about travel, including hotel, culture."
30,Game Video 30,game,moba;walkthrough;strategy,594,42,2025-07-20T11:00:51,"A short video about game, including moba, walkthrough, strategy."
31,Study Video 31,study,reading;math,350,40,2026-02-28T18:43:03,"A short video about study, including reading, math."
32,Study Video 32,study,campus;skill,580,65,2026-03-18T05:56:56,"A short video about study, including campus, skill."
33,Movie Video 33,movie,drama;clip;trailer;review,806,35,2026-04-05T05:20:14,"A short video about movie, including drama, clip, trailer, review."
34,Food Video 34,food,dessert;cooking,193,18,2025-12-26T19:54:43,"A short video about food, including dessert, cooking."
35,Game Video 35,game,moba;esports;walkthrough,446,34,2025-10-16T20:22:01,"A short video about game, including moba, esports, walkthrough."
